algorithm,benchmark,dim,seed,best_fitness,fe_used
PSO,Sphere,10,0,3.2723200669064876e-41,20000
PSO,Sphere,10,1,3.957422529838309e-42,20000
PSO,Sphere,10,2,2.321778513904419e-41,20000
PSO,Sphere,10,3,1.9262691593758362e-45,20000
PSO,Sphere,10,4,5.618392625626914e-41,20000
PSO,Sphere,10,5,1.3160301276571398e-41,20000
PSO,Sphere,10,6,1.1279853139560997e-40,20000
PSO,Sphere,10,7,3.524944092619094e-42,20000
PSO,Sphere,10,8,6.265167623905799e-41,20000
PSO,Sphere,10,9,2.848269013018926e-45,20000
PSO,Sphere,10,10,1.6498826756105523e-42,20000
PSO,Sphere,10,11,6.8687880531068996e-40,20000
PSO,Sphere,10,12,7.293178770641966e-41,20000
PSO,Sphere,10,13,4.85546702949005e-43,20000
PSO,Sphere,10,14,2.0435798349617657e-40,20000
PSO,Sphere,10,15,2.4166951126273783e-42,20000
PSO,Sphere,10,16,1.7604156833003e-43,20000
PSO,Sphere,10,17,1.9087733513837247e-41,20000
PSO,Sphere,10,18,2.7716613294325365e-41,20000
PSO,Sphere,10,19,1.1268387931449894e-43,20000
PSO,Sphere,10,20,2.273044451064156e-41,20000
PSO,Sphere,10,21,3.19337009588249e-43,20000
PSO,Sphere,10,22,3.3285433639881223e-43,20000
PSO,Sphere,10,23,1.542042350258696e-39,20000
PSO,Sphere,10,24,4.7009770580075205e-42,20000
PSO,Sphere,10,25,3.099195942553163e-41,20000
PSO,Sphere,10,26,2.8190487761157635e-43,20000
PSO,Sphere,10,27,8.675262134822108e-42,20000
PSO,Sphere,10,28,8.002034271560408e-42,20000
PSO,Sphere,10,29,1.059475708611906e-40,20000
O-PSO,Sphere,10,0,5.789780240466285e-44,20000
O-PSO,Sphere,10,1,1.5939152428621965e-44,20000
O-PSO,Sphere,10,2,2.468104350823955e-43,20000
O-PSO,Sphere,10,3,7.674213605862039e-43,20000
O-PSO,Sphere,10,4,1.2360901270711062e-43,20000
O-PSO,Sphere,10,5,5.518475100330269e-42,20000
O-PSO,Sphere,10,6,4.643705877901265e-43,20000
O-PSO,Sphere,10,7,7.46737601355247e-41,20000
O-PSO,Sphere,10,8,6.594060612917083e-41,20000
O-PSO,Sphere,10,9,7.772981102691919e-42,20000
O-PSO,Sphere,10,10,1.2328734137894334e-42,20000
O-PSO,Sphere,10,11,1.8849965047328674e-40,20000
O-PSO,Sphere,10,12,9.98296017074859e-43,20000
O-PSO,Sphere,10,13,9.34898201061351e-44,20000
O-PSO,Sphere,10,14,2.454415921906911e-42,20000
O-PSO,Sphere,10,15,1.8723385073268252e-42,20000
O-PSO,Sphere,10,16,2.1934477207447138e-43,20000
O-PSO,Sphere,10,17,7.269044690978058e-42,20000
O-PSO,Sphere,10,18,8.092800758600799e-43,20000
O-PSO,Sphere,10,19,2.9425860450600222e-43,20000
O-PSO,Sphere,10,20,9.732445631685717e-45,20000
O-PSO,Sphere,10,21,9.627223030771219e-43,20000
O-PSO,Sphere,10,22,2.375119350238527e-42,20000
O-PSO,Sphere,10,23,3.725843941692119e-41,20000
O-PSO,Sphere,10,24,6.559667379129413e-43,20000
O-PSO,Sphere,10,25,1.1741316643198442e-42,20000
O-PSO,Sphere,10,26,1.2816477423052203e-42,20000
O-PSO,Sphere,10,27,8.823176980545592e-40,20000
O-PSO,Sphere,10,28,3.985952533404097e-42,20000
O-PSO,Sphere,10,29,6.205643364712325e-42,20000
AO-PSO,Sphere,10,0,4.2656808183616094e-39,20009
AO-PSO,Sphere,10,1,1.1514634854271911e-39,20010
AO-PSO,Sphere,10,2,1.6322606894344071e-38,20008
AO-PSO,Sphere,10,3,9.630393342667997e-39,20009
AO-PSO,Sphere,10,4,3.37268861638327e-40,20012
AO-PSO,Sphere,10,5,1.2848053564603179e-40,20014
AO-PSO,Sphere,10,6,1.491978202022865e-35,20000
AO-PSO,Sphere,10,7,2.9377688606318065e-38,20007
AO-PSO,Sphere,10,8,2.218642485523613e-38,20011
AO-PSO,Sphere,10,9,4.662516114511485e-39,20004
AO-PSO,Sphere,10,10,6.618736145535562e-40,20012
AO-PSO,Sphere,10,11,4.2858895706791e-39,20017
AO-PSO,Sphere,10,12,1.273497399602691e-40,20001
AO-PSO,Sphere,10,13,1.4446849436093478e-41,20007
AO-PSO,Sphere,10,14,4.137453021576839e-40,20017
AO-PSO,Sphere,10,15,1.0901403739057691e-39,20003
AO-PSO,Sphere,10,16,2.5893239477664853e-38,20009
AO-PSO,Sphere,10,17,1.146778297222731e-40,20005
AO-PSO,Sphere,10,18,1.2283203407267598e-36,20016
AO-PSO,Sphere,10,19,1.841430597221543e-40,20010
AO-PSO,Sphere,10,20,1.914064745044083e-41,20018
AO-PSO,Sphere,10,21,1.1186685271977907e-40,20015
AO-PSO,Sphere,10,22,1.6517564930828226e-39,20017
AO-PSO,Sphere,10,23,7.007929159998808e-40,20004
AO-PSO,Sphere,10,24,1.3032095613966042e-37,20019
AO-PSO,Sphere,10,25,9.063224463370131e-41,20012
AO-PSO,Sphere,10,26,4.311787652145239e-37,20010
AO-PSO,Sphere,10,27,1.4901526101569473e-39,20006
AO-PSO,Sphere,10,28,1.6314167697252049e-40,20001
AO-PSO,Sphere,10,29,1.0951131581661172e-38,20015
PSO,Rosenbrock,10,0,90002.24427592196,20000
PSO,Rosenbrock,10,1,6.062778610210032,20000
PSO,Rosenbrock,10,2,1.000560480114213,20000
PSO,Rosenbrock,10,3,4.542271371822156,20000
PSO,Rosenbrock,10,4,240.9351857204659,20000
PSO,Rosenbrock,10,5,237.30408892660847,20000
PSO,Rosenbrock,10,6,0.05764738348562979,20000
PSO,Rosenbrock,10,7,0.14676403577294533,20000
PSO,Rosenbrock,10,8,555.1400274645924,20000
