benchmark,dim,algorithm,mean,std,min,max,median
Ackley,10,AO-PSO,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
Ackley,10,O-PSO,0.2276000869441547,0.6045015845867768,3.9968028886505635e-15,2.0133152362557962,3.9968028886505635e-15
Ackley,10,PSO,0.2861222145263369,0.6147423115408819,3.9968028886505635e-15,2.3168487918475873,3.9968028886505635e-15
Ackley,30,AO-PSO,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
Ackley,30,O-PSO,4.455384733652815,3.3569262437884717,1.1551485027098285,14.806572288981249,3.4898745734712855
Ackley,30,PSO,4.466861615911455,3.584009256279237,0.9313046018168731,14.954187805901935,3.459181930798343
Griewank,10,AO-PSO,0.0,0.0,0.0,0.0,0.0
Griewank,10,O-PSO,0.10890427927514176,0.05109657685512189,0.03199872245312152,0.2901943881795822,0.09962550268621884
Griewank,10,PSO,0.08666313061333018,0.048955953722097496,0.024637061060163723,0.2339392366178059,0.07374799359800849
Griewank,30,AO-PSO,0.0,0.0,0.0,0.0,0.0
Griewank,30,O-PSO,6.377243981808372,22.7964749669369,0.0,90.36429688343578,0.07599826299214046
Griewank,30,PSO,15.139120161768325,34.27397023292729,0.0,90.9589048003246,0.046751486421966415
Rastrigin,10,AO-PSO,0.0,0.0,0.0,0.0,0.0
Rastrigin,10,O-PSO,9.717422359225111,5.144680797652398,4.974790247647377,22.883952154295486,7.462190409290159
Rastrigin,10,PSO,10.582084930253165,6.4982032180276965,3.979836228373159,38.87429422108065,9.949583014204293
Rastrigin,30,AO-PSO,0.0,0.0,0.0,0.0,0.0
Rastrigin,30,O-PSO,96.78069052148417,31.933767615850087,55.71761138778578,177.2438971305133,95.58675555218004
Rastrigin,30,PSO,106.07876780217752,29.99177057770955,45.76803593031008,172.34024555061876,103.01346043811051
Rosenbrock,10,AO-PSO,4.122421384752659,0.45470281744687363,3.3746713088276614,5.132638580705366,4.113879651290846
Rosenbrock,10,O-PSO,3060.8963013233047,16421.226944785394,0.02548724240756568,90002.2439420872,4.221595177174294
Rosenbrock,10,PSO,6237.317695626028,22782.57830121443,0.05764738348562979,90002.24427592196,1.445874630545324
Rosenbrock,30,AO-PSO,23.493296296733003,0.589624147385132,22.551220138730017,25.17066211167822,23.356806719158115
Rosenbrock,30,O-PSO,6259.728920817814,22788.290194906273,0.002075646700589902,90076.41714738992,25.207099565932225
Rosenbrock,30,PSO,15189.65988565571,34038.90506321112,2.332512331557082,90022.27759738947,52.442021757427945
Schwefel,10,AO-PSO,825.6460502961679,302.1507890166478,118.43833461443774,1551.629901255827,845.9823690428318
Schwefel,10,O-PSO,809.8432174623882,277.6412754603761,335.57800400501037,1401.5447699797978,831.3439315693138
Schwefel,10,PSO,784.6290370534468,235.5314265739401,355.3150038433132,1310.4069783196474,761.4977345868606
Schwefel,30,AO-PSO,5571.163835982532,1220.3456506066138,3247.7643254819777,7268.343923657151,5717.438247137989
Schwefel,30,O-PSO,3857.421585644333,681.8368635116851,2390.039796653966,5198.330733894096,3958.574281603069
Schwefel,30,PSO,4086.0203533869153,551.9455955257494,2906.364347337674,5070.149600778026,4089.138900120777
Sphere,10,AO-PSO,5.615209575554741e-37,2.7219095949577987e-36,1.4446849436093478e-41,1.491978202022865e-35,1.3208080477920693e-39
Sphere,10,O-PSO,4.318506389095695e-41,1.6290493630674295e-40,9.732445631685717e-45,8.823176980545592e-40,1.2035025390546388e-42
Sphere,10,PSO,1.0160203433801922e-40,3.00729618608351e-40,1.9262691593758362e-45,1.542042350258696e-39,1.0917781705696754e-41
Sphere,30,AO-PSO,4.0930324685461343e-106,1.5113230852554503e-105,1.0312454587649981e-112,8.040803219830361e-105,2.556913643577365e-108
Sphere,30,O-PSO,666.6666666666671,2537.081317024626,5.98169824357451e-38,10000.000000000007,9.678956517209674e-31
Sphere,30,PSO,1666.6666666666688,3790.4902178945217,5.7479778924188554e-37,10000.000000000035,7.949789434828402e-32
