benchmark,dim,comparison,statistic,p_value,significant_at_0.05
Sphere,10,AO-PSO < PSO,0.0,1.0,False
Sphere,10,AO-PSO < O-PSO,0.0,1.0,False
Sphere,30,AO-PSO < PSO,0.0,8.66653322099553e-07,True
Sphere,30,AO-PSO < O-PSO,0.0,9.313225746154785e-10,True
Rosenbrock,10,AO-PSO < PSO,248.0,0.6271726628765464,False
Rosenbrock,10,AO-PSO < O-PSO,172.0,0.11032337881624699,False
Rosenbrock,30,AO-PSO < PSO,112.0,0.006023811176419258,True
Rosenbrock,30,AO-PSO < O-PSO,139.0,0.027460814453661442,True
Rastrigin,10,AO-PSO < PSO,0.0,8.606717946953196e-07,True
Rastrigin,10,AO-PSO < O-PSO,0.0,8.504212691430931e-07,True
Rastrigin,30,AO-PSO < PSO,0.0,9.313225746154785e-10,True
Rastrigin,30,AO-PSO < O-PSO,0.0,9.313225746154785e-10,True
Griewank,10,AO-PSO < PSO,0.0,9.313225746154785e-10,True
Griewank,10,AO-PSO < O-PSO,0.0,9.313225746154785e-10,True
Griewank,30,AO-PSO < PSO,0.0,1.8893407461208647e-06,True
Griewank,30,AO-PSO < O-PSO,0.0,1.2806788743879331e-06,True
Ackley,10,AO-PSO < PSO,0.0,3.4785187480795503e-07,True
Ackley,10,AO-PSO < O-PSO,0.0,2.52234568816318e-07,True
Ackley,30,AO-PSO < PSO,0.0,9.313225746154785e-10,True
Ackley,30,AO-PSO < O-PSO,0.0,9.313225746154785e-10,True
Schwefel,10,AO-PSO < PSO,284.0,0.8553168969228864,False
Schwefel,10,AO-PSO < O-PSO,248.0,0.6271726628765464,False
Schwefel,30,AO-PSO < PSO,448.0,0.9999998426064849,False
Schwefel,30,AO-PSO < O-PSO,445.0,0.9999997140839696,False
